price,name,brand,seller_name,seller_rating,url,rating,screen_size,resolution,panel_type,android
840000,sony 4k smart  65 inches ultra hd 4k android tv,Sony,Samsung and Sony online store,66,https://www.jumia.com.ng/sony-4k-smart-65-inches-ultra-hd-4k-android-tv-65x85j-new-model-138957261.html,5.0,65,uhd,,yes
375000,lg uhd 4k tv,LG,JennyLink Store,30,https://www.jumia.com.ng/lg-uhd-4k-tv-55-inch-4k-active-hdr-webos-smart-ai-thinq-214673326.html,0.0,55,uhd,,no
1250000,lg uhd nanocell tv,LG,Luchi's Store,94,https://www.jumia.com.ng/lg-uhd-nanocell-tv-65-inch-cinema-screen-design-8k-hdr-webos-smart-satellite-ai-thinq-local-dimming-magic-remote-111561108.html,0.0,65,uhd,nanocell,no
245000,"transparent narrow frame ""55"" smart high quality-television - blacktv",Transparent,Transparent,80,https://www.jumia.com.ng/transparent-narrow-frame-55-smart-high-quality-television-black-106331747.html,0.0,55,hd,,no
360000,lg uhd 4k tv,LG,Ebuka Ebuka,34,https://www.jumia.com.ng/lg-uhd-4k-tv-55-inch-4k-active-hdr-webos-smart-ai-thinq-216680689.html,0.0,55,uhd,,no
597999,lg uhd tv,LG,Homewarehouse,60,https://www.jumia.com.ng/lg-uhd-tv-65-inch-4k-display-4k-hdr-smart-led-tv-w-thinq-ai-62305974.html,5.0,65,uhd,led,no
195990,"ufc ''55"" inch 4k ultra-hd smart led android tv",UFC,EbocasBabyClothings,80,https://www.jumia.com.ng/ufc-55-inch-4k-ultra-hd-smart-led-android-tv-black-86714395.html,3.0,55,uhd,led,yes
185300,"ufc ''55"" inch 4k ultra-hd smart led android tv",UFC,EbocasBabyClothings,80,https://www.jumia.com.ng/ufc-55-inch-4k-ultra-hd-smart-led-android-tv-black-86868452.html,4.4,55,uhd,led,yes
130700,polystar 40 inch smart curved led tv,Polystar,Office Comfort Enterprises,60,https://www.jumia.com.ng/polystar-40-inch-smart-curved-led-tv-free-wall-bracket-77448540.html,4.0,40,fhd,led,no
109990,"weyon 39"" inches led smart tv",WEYON,WEYON Official Store-Sea-COD,60,https://www.jumia.com.ng/weyon-39-inches-led-smart-tv-39wasn-1-year-warranty-black-147693535.html,4.5,39,hd,led,no
